order_id,customer_id,order_date,amount,city
1001,C101,2/20/2025,500,Delhi
1002,C102,20-02-2025,700,Mumbai
1003,C103,2/20/2025,,Lucknow
1001,C101,2/20/2025,500,Delhi
1004,C104,2/21/2025,1200,Chennai
1005,C105,21-02-2025,850,Kolkata
1006,C106,2/21/2025,430,Pune
1007,C107,2/22/2025,990,Hyderabad
1008,C108,22-02-2025,1500,Ahmedabad
1009,C109,2/22/2025,,Jaipur
1010,C110,2/23/2025,640,Surat
1011,C111,23-02-2025,720,Delhi
1012,C112,2/23/2025,810,Mumbai
1013,C113,2/24/2025,560,Lucknow
1014,C114,24-02-2025,910,Chennai
1015,C115,2/24/2025,400,Kolkata
1016,C116,2/25/2025,1100,Pune
1017,C117,25-02-2025,,Hyderabad
1018,C118,2/25/2025,770,Ahmedabad
1019,C119,2/26/2025,300,Jaipur
1020,C120,26-02-2025,880,Surat
1021,C121,2/26/2025,450,Delhi
1022,C122,2/27/2025,620,Mumbai
1023,C123,27-02-2025,730,Lucknow
1024,C124,2/27/2025,,Chennai
1025,C125,2/28/2025,940,Kolkata
1026,C126,28-02-2025,510,Pune
1027,C127,2/28/2025,660,Hyderabad
1028,C128,3/1/2025,720,Ahmedabad
1029,C129,1/3/2025,830,Jaipur
1030,C130,3/1/2025,1200,Surat
1031,C131,3/2/2025,540,Delhi
1032,C132,2/3/2025,690,Mumbai
1033,C133,3/2/2025,800,Lucknow
1034,C134,3/3/2025,,Chennai
1035,C135,3/3/2025,470,Kolkata
1036,C136,3/3/2025,920,Pune
1037,C137,3/4/2025,610,Hyderabad
1038,C138,4/3/2025,880,Ahmedabad
1039,C139,3/4/2025,760,Jaipur
1040,C140,3/5/2025,1020,Surat
1041,C141,5/3/2025,640,Delhi
1042,C142,3/5/2025,710,Mumbai
1043,C143,3/6/2025,550,Lucknow
1044,C144,6/3/2025,890,Chennai
1045,C145,3/6/2025,,Kolkata
1046,C146,3/7/2025,970,Pune
1047,C147,7/3/2025,680,Hyderabad
1048,C148,3/7/2025,740,Ahmedabad
1049,C149,3/8/2025,860,Jaipur
1050,C150,8/3/2025,920,Surat
1051,C151,3/8/2025,510,Delhi
1052,C152,3/9/2025,630,Mumbai
1053,C153,9/3/2025,720,Lucknow
1054,C154,3/9/2025,810,Chennai
1055,C155,3/10/2025,,Kolkata
1056,C156,10/3/2025,450,Pune
1057,C157,3/10/2025,980,Hyderabad
1058,C158,3/11/2025,530,Ahmedabad
1059,C159,11/3/2025,760,Jaipur
1060,C160,3/11/2025,890,Surat
1061,C161,3/12/2025,650,Delhi
1062,C162,12/3/2025,710,Mumbai
1063,C163,3/12/2025,880,Lucknow
1064,C164,3/13/2025,920,Chennai
1065,C165,13-03-2025,,Kolkata
1066,C166,3/13/2025,540,Pune
1067,C167,3/14/2025,670,Hyderabad
1068,C168,14-03-2025,780,Ahmedabad
1069,C169,3/14/2025,850,Jaipur
1070,C170,3/15/2025,990,Surat
1071,C171,15-03-2025,430,Delhi
1072,C172,3/15/2025,620,Mumbai
1073,C173,3/16/2025,700,Lucknow
1074,C174,16-03-2025,810,Chennai
1075,C175,3/16/2025,920,Kolkata
1076,C176,3/17/2025,,Pune
1077,C177,17-03-2025,540,Hyderabad
1078,C178,3/17/2025,660,Ahmedabad
1079,C179,3/18/2025,720,Jaipur
1080,C180,18-03-2025,880,Surat
1081,C181,3/18/2025,940,Delhi
1082,C182,3/19/2025,560,Mumbai
1083,C183,19-03-2025,770,Lucknow
1084,C184,3/19/2025,830,Chennai
1085,C185,3/20/2025,,Kolkata
1086,C186,20-03-2025,610,Pune
1087,C187,3/20/2025,720,Hyderabad
1088,C188,3/21/2025,890,Ahmedabad
1089,C189,21-03-2025,950,Jaipur
1090,C190,3/21/2025,1020,Surat
1091,C191,3/22/2025,480,Delhi
1092,C192,22-03-2025,690,Mumbai
1093,C193,3/22/2025,810,Lucknow
1094,C194,3/23/2025,,Chennai
1095,C195,23-03-2025,540,Kolkata
1096,C196,3/23/2025,670,Pune
1097,C197,3/24/2025,720,Hyderabad
1098,C198,24-03-2025,860,Ahmedabad
1099,C199,3/24/2025,930,Jaipur
1100,C200,3/25/2025,1050,Surat
